Partida,Jogadore(a)s,Oponentes,Amigos
56,"Mafalda, Ze",7,24
57," Gaudencio, Estancieira, ",1,24
58,"Peao, Ze, ",0,24
59,"Peao, Mafalda",24,21
60,"Mafalda, Ze",24,11
61,"Prenda, Estancieira",24,6
62,"Peao, Prenda",24,17
63,"Mafalda, Ze",16,24
64,"Xiru, Peao",24,0
65,"Gaudencio, Peao",24,1
66,"Xiru, Prenda",10,24
67,"Xiru, Estancieira, ",24,21
68," Estancieira, Xiru",24,5
69," Xiru, Ze",24,2
70," Xiru, Peao, ",5,24
71," Gaudencio, Peao, ",5,24
72," Xiru, Prenda, ",24,2
73," Xiru, Estancieira, ",24,18
74," Estancieira, Xiru, ",24,8
75," Xiru, Ze, ",4,24
76," Gaudencio, Prenda, ",4,24
77," Estancieira, Xiru",0,24
78," Peao, Estancieira, ",24,0
79,"Estancieira, Xiru, ",24,1
80,"Peao, Prenda",1,24
81,"Mafalda, Ze",0,24
82,"Xiru, Peao",6,24
83,"Gaudencio, Peao",1,24
84,"Xiru, Prenda",10,24
85,"Xiru, Estancieira",15,24
86,"Estancieira, Xiru",24,18
87,"Xiru, Ze",0,24
88,"Peao, Prenda",19,24
89,"Estancieira, Xiru",21,24
90,"Mafalda, Ze",24,19
91,"Xiru, Peao, ",24,4
92,"Gaudencio, Peao",7,24
93,"Xiru, Prenda",24,1
94,"Xiru, Estancieira",24,0
95,"Estancieira, Xiru",24,2
96,"Xiru, Ze",4,24
97,"Gaudencio, Prenda",1,24
98,"Estancieira, Xiru",24,20
99,"Peao, Estancieira",24,19
100,"Estancieira, Xiru",4,24
101,"Gaudencio, Estancieira",20,24
102,"Estancieira, Xiru",24,9
103,"Peao, Mafalda",7,24
104,"Peao, Prenda",11,24
105,"Mafalda, Gaudencio",12,24
106,"Peao, Ze",24,7
107,"Peao, Prenda",1,24
108,"Prenda, Estancieira",7,24
109,"Peao, Prenda",16,24
110,"Estancieira, Xiru",24,0
111,"Mafalda, Ze",24,8
112,"Xiru, Peao, ",24,1
113,"Gaudencio, Peao",3,24
114,"Xiru, Prenda",24,7
115,"Xiru, Estancieira",5,24
116,"Estancieira, Xiru, ",0,24
117,"Xiru, Ze, ",24,6
118,"Gaudencio, Prenda, ",0,24
119,"Estancieira, Xiru, ",24,0
120,"Peao, Estancieira, ",24,7
121,"Estancieira, Xiru, ",0,24
122,"Gaudencio, Estancieira, ",8,24
123,"Estancieira, Xiru, ",0,24
124,"Peao, Mafalda, ",4,24
125,"Peao, Prenda",24,0
126,"Mafalda, Gaudencio ",24,8
127,"Peao, Ze",0,24
128,"Peao, Prenda",15,24
129,"Prenda, Estancieira",24,0
130,"Peao, Prenda ",6,24
131,"Estancieira, Xiru",0,24
132,"Mafalda, Ze, ",24,5
133,"Xiru, Peao",24,3
134,"Gaudencio, Peao",5,24
135,"Xiru, Prenda",24,13
136,"Xiru, Estancieira",0,24
137,"Estancieira, Xiru",12,24
138,"Xiru, Gaudencio,",15,24
139,"Gaudencio, Prenda ",0,24
140,"Estancieira, Xiru, ",9,24
141,"Gaudencio, Estancieira ",8,24
142,"Estancieira, Xiru , ",24,0
143,"Peao, Mafalda, ",24,1
144,"Peao, Prenda, ",24,1
145,"Mafalda, Gaudencio ",24,3
146,"Peao, Prenda",24,1
147,"Mafalda, Gaudencio",24,8
148,"Peao, Gaudencio ",0,24
149,"Peao, Prenda, ",24,15
150,"Prenda, Estancieira  ",24,22
151,"Prenda, Estancieira ",6,24
152,"Ze, Estancieira",0,24
153,"Prenda, Ze",24,1
,,0,24
